data,explainer,scale,coverage,hit_rate,execution_time
CIFAR10,YADEA,False,0.9033333333333332,1.0,12.946430206298828
CIFAR10,YADEA,True,0.2066666666666666,0.02,4.66074538230896
CIFAR10,RPS,False,0.1166666666666666,0.01,2.136415958404541
CIFAR10,IF,True,0.13,0.02,200.7359676361084
CIFAR10,TracIn,True,0.13,0.02,44.33322882652283
CIFAR10,YADEA,False,0.94,0.99,12.978076457977297
CIFAR10,YADEA,True,0.2066666666666666,0.01,4.711726188659668
CIFAR10,RPS,False,0.1133333333333333,0.0,2.122444629669189
CIFAR10,IF,True,0.13,0.01,200.1112685203552
CIFAR10,TracIn,True,0.1266666666666666,0.01,42.16900992393494
CIFAR10,YADEA,False,0.91,1.0,12.996195554733276
CIFAR10,YADEA,True,0.2233333333333333,0.02,4.682199954986572
CIFAR10,RPS,False,0.11,0.0,2.119990110397339
CIFAR10,IF,True,0.15,0.02,200.52694535255432
CIFAR10,TracIn,True,0.15,0.02,44.788403272628784
CIFAR10,YADEA,False,0.9033333333333332,1.0,13.06190276145935
CIFAR10,YADEA,True,0.21,0.0,4.716723442077637
CIFAR10,RPS,False,0.1166666666666666,0.02,2.097200393676758
CIFAR10,IF,True,0.1366666666666666,0.0,199.9957375526428
CIFAR10,TracIn,True,0.1366666666666666,0.0,44.05896592140198
CIFAR10,YADEA,False,0.9166666666666666,1.0,13.050049543380736
CIFAR10,YADEA,True,0.1833333333333333,0.01,4.715117692947388
CIFAR10,RPS,False,0.1133333333333333,0.01,2.1208574771881104
CIFAR10,IF,True,0.1366666666666666,0.01,202.35281920433044
CIFAR10,TracIn,True,0.1366666666666666,0.01,44.79257225990296
CIFAR10,YADEA,False,0.93,1.0,13.028342008590698
CIFAR10,YADEA,True,0.21,0.01,4.726773977279663
CIFAR10,RPS,False,0.1133333333333333,0.0,2.104949951171875
CIFAR10,IF,True,0.1366666666666666,0.0,200.70689415931705
CIFAR10,TracIn,True,0.1366666666666666,0.0,43.95657157897949
CIFAR10,YADEA,False,0.9433333333333334,1.0,13.024218797683716
CIFAR10,YADEA,True,0.2166666666666666,0.02,4.729863882064819
CIFAR10,RPS,False,0.1066666666666666,0.01,2.140848398208618
CIFAR10,IF,True,0.1333333333333333,0.01,201.3461413383484
CIFAR10,TracIn,True,0.1333333333333333,0.01,44.52101731300354
CIFAR10,YADEA,False,0.9366666666666666,1.0,13.036883115768433
CIFAR10,YADEA,True,0.2066666666666666,0.01,4.72420334815979
CIFAR10,RPS,False,0.12,0.02,2.1278345584869385
CIFAR10,IF,True,0.1366666666666666,0.02,201.83495688438416
CIFAR10,TracIn,True,0.1333333333333333,0.02,42.41990733146668
CIFAR10,YADEA,False,0.9233333333333332,0.98,13.047811508178713
CIFAR10,YADEA,True,0.1866666666666666,0.02,4.71898365020752
CIFAR10,RPS,False,0.11,0.0,2.128450870513916
CIFAR10,IF,True,0.13,0.0,199.2354345321656
CIFAR10,TracIn,True,0.13,0.0,43.63131904602051
CIFAR10,YADEA,False,0.91,1.0,13.035154104232788
CIFAR10,YADEA,True,0.2266666666666666,0.01,4.717929124832153
CIFAR10,RPS,False,0.1266666666666666,0.01,2.1311357021331787
CIFAR10,IF,True,0.13,0.01,202.3582174777985
CIFAR10,TracIn,True,0.13,0.01,41.8658299446106
CIFAR10,YADEA,False,0.9233333333333332,0.98,13.037461280822754
CIFAR10,YADEA,True,0.21,0.01,4.710267543792725
CIFAR10,RPS,False,0.12,0.01,2.115126132965088
CIFAR10,IF,True,0.1466666666666666,0.01,200.6649808883667
CIFAR10,TracIn,True,0.14,0.01,43.28518080711365
CIFAR10,YADEA,False,0.9366666666666666,0.99,13.049384355545044
CIFAR10,YADEA,True,0.28,0.01,4.739499568939209
CIFAR10,RPS,False,0.13,0.03,2.114901304244995
CIFAR10,IF,True,0.1666666666666666,0.05,201.83766412734985
CIFAR10,TracIn,True,0.16,0.05,42.44783306121826
CIFAR10,YADEA,False,0.9266666666666666,0.99,13.02803921699524
CIFAR10,YADEA,True,0.21,0.0,4.751187086105347
CIFAR10,RPS,False,0.12,0.03,2.1028568744659424
CIFAR10,IF,True,0.1233333333333333,0.0,202.41285276412964
CIFAR10,TracIn,True,0.1233333333333333,0.0,42.49950647354126
CIFAR10,YADEA,False,0.89,1.0,13.045158624649048
CIFAR10,YADEA,True,0.2233333333333333,0.0,4.744660377502441
CIFAR10,RPS,False,0.1166666666666666,0.03,2.110161781311035
CIFAR10,IF,True,0.13,0.01,200.14545893669128
CIFAR10,TracIn,True,0.13,0.01,44.00736498832703
CIFAR10,YADEA,False,0.9366666666666666,0.99,13.043110847473145
CIFAR10,YADEA,True,0.26,0.04,4.742971897125244
CIFAR10,RPS,False,0.1266666666666666,0.04,2.101929187774658
CIFAR10,IF,True,0.15,0.03,201.1064298152924
CIFAR10,TracIn,True,0.1466666666666666,0.03,42.07690739631653
CIFAR10,YADEA,False,0.9066666666666666,0.99,13.082008600234984
CIFAR10,YADEA,True,0.25,0.0,4.710405826568604
CIFAR10,RPS,False,0.1233333333333333,0.02,2.1045591831207275
CIFAR10,IF,True,0.1433333333333333,0.0,200.04134917259216
CIFAR10,TracIn,True,0.1433333333333333,0.0,43.5953254699707
CIFAR10,YADEA,False,0.9133333333333332,1.0,13.073288440704346
CIFAR10,YADEA,True,0.2133333333333333,0.01,4.701175689697266
CIFAR10,RPS,False,0.1133333333333333,0.0,2.139237403869629
CIFAR10,IF,True,0.1433333333333333,0.01,201.34290742874143
CIFAR10,TracIn,True,0.14,0.01,43.50738978385925
CIFAR10,YADEA,False,0.9266666666666666,0.97,13.022600412368774
CIFAR10,YADEA,True,0.23,0.01,4.7579264640808105
CIFAR10,RPS,False,0.1166666666666666,0.01,2.139355659484864
CIFAR10,IF,True,0.15,0.0,201.69347214698792
CIFAR10,TracIn,True,0.1466666666666666,0.0,42.916804790496826
CIFAR10,YADEA,False,0.91,1.0,13.07487726211548
CIFAR10,YADEA,True,0.2466666666666666,0.02,4.719343900680542
CIFAR10,RPS,False,0.1166666666666666,0.01,2.140244483947754
CIFAR10,IF,True,0.15,0.02,201.4907386302948
CIFAR10,TracIn,True,0.14,0.02,45.02062726020813
CIFAR10,YADEA,False,0.9066666666666666,0.98,13.042330741882324
CIFAR10,YADEA,True,0.2733333333333333,0.0,4.726483583450317
