data,explainer,scale,coverage,hit_rate,execution_time
MRI,YADEA,False,0.7933333333333333,0.98,32.19021821022034
MRI,YADEA,True,0.8233333333333334,0.9,5.234295606613159
MRI,RPS,False,0.0566666666666666,0.01,2.493547439575196
MRI,IF,True,0.12,0.02,3243.2675824165344
MRI,TracIn,True,0.1133333333333333,0.02,9.78951621055603
MRI,YADEA,False,0.74,0.99,32.21103644371033
MRI,YADEA,True,0.77,0.91,5.320114135742188
MRI,RPS,False,0.06,0.0,2.5598809719085693
MRI,IF,True,0.1,0.03,3261.893699407577
MRI,TracIn,True,0.0866666666666666,0.03,9.479146003723145
MRI,YADEA,False,0.7666666666666667,0.98,32.21297597885132
MRI,YADEA,True,0.79,0.86,5.327850818634033
MRI,RPS,False,0.0633333333333333,0.05,2.559022903442383
MRI,IF,True,0.1133333333333333,0.03,3253.2682404518127
MRI,TracIn,True,0.0966666666666666,0.03,9.590371131896973
MRI,YADEA,False,0.7366666666666667,0.97,32.212170362472534
MRI,YADEA,True,0.82,0.88,5.309782981872559
MRI,RPS,False,0.06,0.03,2.5434582233428955
MRI,IF,True,0.1066666666666666,0.02,3248.027802228928
MRI,TracIn,True,0.11,0.01,9.558278560638428
MRI,YADEA,False,0.7733333333333333,0.99,32.15354561805725
MRI,YADEA,True,0.8033333333333333,0.9,5.349252700805664
MRI,RPS,False,0.06,0.03,2.5524706840515137
MRI,IF,True,0.1066666666666666,0.01,3249.7582120895386
MRI,TracIn,True,0.11,0.02,9.50785756111145
MRI,YADEA,False,0.77,0.99,32.20608401298523
MRI,YADEA,True,0.81,0.88,5.351454973220825
MRI,RPS,False,0.0633333333333333,0.01,2.5947651863098145
MRI,IF,True,0.11,0.02,3263.105519771576
MRI,TracIn,True,0.1066666666666666,0.03,9.565690517425535
MRI,YADEA,False,0.7666666666666667,0.97,32.431153774261475
MRI,YADEA,True,0.8133333333333334,0.88,5.286752700805664
MRI,RPS,False,0.06,0.0,2.5856950283050537
MRI,IF,True,0.1,0.03,3272.845820903778
MRI,TracIn,True,0.0866666666666666,0.05,9.530548810958862
MRI,YADEA,False,0.7933333333333333,0.98,32.16027855873108
MRI,YADEA,True,0.82,0.85,5.326150178909302
MRI,RPS,False,0.06,0.01,2.540947198867798
MRI,IF,True,0.11,0.03,3259.3153491020203
MRI,TracIn,True,0.1033333333333333,0.02,9.449481725692747
MRI,YADEA,False,0.7733333333333333,1.0,32.448082447052
MRI,YADEA,True,0.82,0.93,5.350821256637573
MRI,RPS,False,0.0566666666666666,0.01,2.549863815307617
MRI,IF,True,0.0966666666666666,0.02,3266.037266731262
MRI,TracIn,True,0.0866666666666666,0.02,9.51848316192627
MRI,YADEA,False,0.7666666666666667,0.98,32.27793478965759
MRI,YADEA,True,0.8066666666666666,0.86,5.28805947303772
MRI,RPS,False,0.06,0.02,2.557729482650757
MRI,IF,True,0.1066666666666666,0.06,3259.445825099945
MRI,TracIn,True,0.0933333333333333,0.05,9.638011693954468
MRI,YADEA,False,0.7866666666666666,0.96,32.18018841743469
MRI,YADEA,True,0.8466666666666667,0.9,5.295485019683838
MRI,RPS,False,0.0566666666666666,0.0,2.540211677551269
MRI,IF,True,0.1066666666666666,0.01,3254.3835089206696
MRI,TracIn,True,0.1033333333333333,0.02,9.697832345962524
MRI,YADEA,False,0.73,0.98,32.23603200912476
MRI,YADEA,True,0.7833333333333333,0.92,5.252132415771484
MRI,RPS,False,0.06,0.01,2.557420253753662
MRI,IF,True,0.12,0.02,3242.9509422779083
MRI,TracIn,True,0.0966666666666666,0.02,9.680511474609377
MRI,YADEA,False,0.7866666666666666,1.0,32.16533064842224
MRI,YADEA,True,0.8066666666666666,0.91,5.256857633590698
MRI,RPS,False,0.06,0.01,2.566813707351685
MRI,IF,True,0.11,0.04,3243.327410936356
MRI,TracIn,True,0.1,0.03,9.516436576843262
MRI,YADEA,False,0.7533333333333333,0.98,32.23967003822327
MRI,YADEA,True,0.7966666666666666,0.81,5.321576356887817
MRI,RPS,False,0.0533333333333333,0.02,2.573791742324829
MRI,IF,True,0.11,0.02,3264.440395593643
MRI,TracIn,True,0.0933333333333333,0.02,9.464144468307495
MRI,YADEA,False,0.8233333333333334,0.99,32.51518273353577
MRI,YADEA,True,0.8233333333333334,0.94,5.313773155212402
MRI,RPS,False,0.0566666666666666,0.0,2.553347110748291
MRI,IF,True,0.1033333333333333,0.0,3256.2864022254944
MRI,TracIn,True,0.1,0.01,9.683539390563965
MRI,YADEA,False,0.7633333333333333,1.0,32.328866958618164
MRI,YADEA,True,0.79,0.86,5.319499492645264
MRI,RPS,False,0.0666666666666666,0.02,2.5694468021392822
MRI,IF,True,0.1166666666666666,0.05,3252.3382658958435
MRI,TracIn,True,0.1,0.05,9.592098712921144
MRI,YADEA,False,0.7733333333333333,1.0,32.28224778175354
MRI,YADEA,True,0.8033333333333333,0.92,5.28226637840271
MRI,RPS,False,0.0633333333333333,0.0,2.5768935680389404
MRI,IF,True,0.1033333333333333,0.08,3249.175085067749
MRI,TracIn,True,0.1033333333333333,0.1,9.570457696914673
MRI,YADEA,False,0.7466666666666667,0.99,32.36330699920654
MRI,YADEA,True,0.7766666666666666,0.87,5.277122735977173
MRI,RPS,False,0.0633333333333333,0.01,2.555081605911255
MRI,IF,True,0.1,0.01,3258.409427165985
MRI,TracIn,True,0.1033333333333333,0.02,9.44277834892273
MRI,YADEA,False,0.8133333333333334,1.0,32.22284531593323
MRI,YADEA,True,0.79,0.88,5.283333778381348
MRI,RPS,False,0.0566666666666666,0.04,2.530965805053711
MRI,IF,True,0.1033333333333333,0.03,3265.9643642902374
MRI,TracIn,True,0.0933333333333333,0.03,9.806076049804688
MRI,YADEA,False,0.7533333333333333,0.99,32.31627058982849
MRI,YADEA,True,0.81,0.87,5.277060270309448
MRI,RPS,False,0.0566666666666666,0.03,2.548090934753418
MRI,IF,True,0.0966666666666666,0.04,3249.673067331314
MRI,TracIn,True,0.11,0.04,9.482388257980348
MRI,YADEA,False,0.8066666666666666,1.0,32.26756501197815
MRI,YADEA,True,0.7966666666666666,0.9,5.233841896057129
MRI,RPS,False,0.0566666666666666,0.02,2.550221920013428
MRI,IF,True,0.1033333333333333,0.02,3256.7650530338287
MRI,TracIn,True,0.0966666666666666,0.02,9.370866060256958
MRI,YADEA,False,0.7633333333333333,1.0,32.30405569076538
MRI,YADEA,True,0.8133333333333334,0.83,5.3294196128845215
MRI,RPS,False,0.0566666666666666,0.03,2.534809827804565
MRI,IF,True,0.1166666666666666,0.01,3259.7346942424774
MRI,TracIn,True,0.1,0.01,9.470782279968262
MRI,YADEA,False,0.7566666666666667,0.98,32.40073370933533
MRI,YADEA,True,0.8333333333333334,0.88,5.375232219696045
MRI,RPS,False,0.0533333333333333,0.0,2.5957255363464355
MRI,IF,True,0.1033333333333333,0.03,3264.921961069107
MRI,TracIn,True,0.1,0.02,9.387915134429932
MRI,YADEA,False,0.7733333333333333,0.99,32.205528259277344
MRI,YADEA,True,0.7866666666666666,0.84,5.333488464355469
