data,explainer,scale,coverage,hit_rate,execution_time
OCEA,YADEA,False,0.81,0.91,305.4363832473755
OCEA,YADEA,True,0.5266666666666666,0.35,21.788249492645264
OCEA,RPS,False,0.49,0.09,10.61134147644043
OCEA,IF,True,0.51,0.08,781.5300669670105
OCEA,TracIn,True,0.4766666666666667,0.08,82.57732081413269
OCEA,YADEA,False,0.79,0.89,304.69193983078003
OCEA,YADEA,True,0.5033333333333333,0.31,22.062524557113647
OCEA,RPS,False,0.4733333333333333,0.07,10.63273000717163
OCEA,IF,True,0.4733333333333333,0.04,783.2711362838745
OCEA,TracIn,True,0.4466666666666666,0.03,87.55292749404907
OCEA,YADEA,False,0.78,0.93,305.3643853664398
OCEA,YADEA,True,0.6533333333333333,0.5,21.841470956802368
OCEA,RPS,False,0.4433333333333333,0.06,10.65585160255432
OCEA,IF,True,0.4466666666666666,0.01,783.8563902378082
OCEA,TracIn,True,0.43,0.01,83.07495617866516
OCEA,YADEA,False,0.79,0.91,305.6094787120819
OCEA,YADEA,True,0.58,0.38,21.9963481426239
OCEA,RPS,False,0.5333333333333333,0.12,10.654682636260986
OCEA,IF,True,0.5233333333333333,0.05,781.8816611766815
OCEA,TracIn,True,0.5233333333333333,0.05,85.58335018157959
OCEA,YADEA,False,0.7633333333333333,0.88,305.4482853412628
OCEA,YADEA,True,0.5933333333333334,0.4,21.522464752197266
OCEA,RPS,False,0.4633333333333333,0.06,10.282028198242188
OCEA,IF,True,0.4633333333333333,0.04,759.7480528354645
OCEA,TracIn,True,0.4566666666666666,0.04,85.93643498420715
OCEA,YADEA,False,0.8,0.84,304.5438013076782
OCEA,YADEA,True,0.4666666666666667,0.27,22.05147433280945
OCEA,RPS,False,0.4166666666666667,0.07,10.623453140258787
OCEA,IF,True,0.5233333333333333,0.1,783.0945672988892
OCEA,TracIn,True,0.51,0.1,81.52368330955505
OCEA,YADEA,False,0.78,0.86,305.8427448272705
OCEA,YADEA,True,0.5533333333333333,0.33,21.4607162475586
OCEA,RPS,False,0.3833333333333333,0.03,10.240548133850098
OCEA,IF,True,0.46,0.04,762.0032591819763
OCEA,TracIn,True,0.4633333333333333,0.03,86.49851250648499
OCEA,YADEA,False,0.8166666666666667,0.91,304.92795300483704
OCEA,YADEA,True,0.6033333333333334,0.42,22.11209511756897
OCEA,RPS,False,0.4733333333333333,0.06,10.62295389175415
OCEA,IF,True,0.4866666666666667,0.03,785.166157245636
OCEA,TracIn,True,0.4633333333333333,0.03,86.97145462036133
OCEA,YADEA,False,0.7933333333333333,0.9,304.4779939651489
OCEA,YADEA,True,0.4966666666666666,0.29,21.453187942504883
