data,explainer,scale,coverage,hit_rate,execution_time
SVHN,HDEXPLAIN,False,0.88,0.79,17.78641104698181
SVHN,HDEXPLAIN,True,0.9833333333333332,0.83,5.725740432739258
SVHN,RPS,False,0.2233333333333333,0.01,1.6855731010437012
SVHN,IF,True,0.3266666666666666,0.04,92.3380777835846
SVHN,TracIn,True,0.32,0.03,67.71122860908508
SVHN,HDEXPLAIN,False,0.85,0.77,16.35765767097473
SVHN,HDEXPLAIN,True,0.9266666666666666,0.79,5.2944769859313965
SVHN,RPS,False,0.2233333333333333,0.03,1.6311228275299072
SVHN,IF,True,0.3466666666666667,0.06,90.9522943496704
SVHN,TracIn,True,0.3466666666666667,0.06,67.79382562637329
SVHN,HDEXPLAIN,False,0.8666666666666667,0.82,16.28856587409973
SVHN,HDEXPLAIN,True,0.96,0.78,5.291932106018066
SVHN,RPS,False,0.22,0.02,1.6202712059020996
SVHN,IF,True,0.3066666666666666,0.06,89.70658326148987
SVHN,TracIn,True,0.3066666666666666,0.06,68.57198429107666
SVHN,HDEXPLAIN,False,0.84,0.74,16.2688250541687
SVHN,HDEXPLAIN,True,0.9366666666666666,0.75,5.315765380859375
SVHN,RPS,False,0.2233333333333333,0.01,1.6215412616729736
SVHN,IF,True,0.31,0.02,89.72433972358704
SVHN,TracIn,True,0.31,0.02,67.52344131469727
SVHN,HDEXPLAIN,False,0.8333333333333334,0.75,16.290801525115967
SVHN,HDEXPLAIN,True,0.9233333333333332,0.79,5.313143730163574
SVHN,RPS,False,0.2333333333333333,0.05,1.597505807876587
SVHN,IF,True,0.32,0.04,90.918203830719
SVHN,TracIn,True,0.32,0.04,69.49837279319763
SVHN,HDEXPLAIN,False,0.86,0.76,16.2409508228302
SVHN,HDEXPLAIN,True,0.97,0.84,5.327481269836426
SVHN,RPS,False,0.2133333333333333,0.02,1.6175305843353271
SVHN,IF,True,0.3,0.03,91.81805920600893
SVHN,TracIn,True,0.3,0.03,68.89808917045593
SVHN,HDEXPLAIN,False,0.8466666666666667,0.73,16.261541843414307
SVHN,HDEXPLAIN,True,0.9566666666666668,0.82,5.388341903686523
SVHN,RPS,False,0.2433333333333333,0.07,1.6102581024169922
SVHN,IF,True,0.32,0.02,92.06720900535583
SVHN,TracIn,True,0.32,0.02,69.87209892272949
SVHN,HDEXPLAIN,False,0.8933333333333333,0.79,16.217653274536133
SVHN,HDEXPLAIN,True,0.93,0.75,5.299082040786743
SVHN,RPS,False,0.22,0.03,1.6360795497894287
SVHN,IF,True,0.32,0.05,92.63189792633057
SVHN,TracIn,True,0.32,0.05,67.87423896789551
SVHN,HDEXPLAIN,False,0.86,0.74,16.180010080337524
SVHN,HDEXPLAIN,True,0.95,0.84,5.308620929718018
SVHN,RPS,False,0.24,0.03,1.6257078647613523
SVHN,IF,True,0.3333333333333333,0.0,87.23676538467407
SVHN,TracIn,True,0.33,0.0,69.30180859565735
SVHN,HDEXPLAIN,False,0.88,0.8,16.046005249023438
SVHN,HDEXPLAIN,True,0.9166666666666666,0.8,5.5304224491119385
SVHN,RPS,False,0.2233333333333333,0.05,1.5974106788635254
SVHN,IF,True,0.3266666666666666,0.05,90.33961415290833
SVHN,TracIn,True,0.3266666666666666,0.05,68.45701622962952
SVHN,HDEXPLAIN,False,0.86,0.78,15.989837169647217
SVHN,HDEXPLAIN,True,0.9266666666666666,0.81,5.236849308013916
SVHN,RPS,False,0.23,0.02,1.552915096282959
SVHN,IF,True,0.34,0.05,86.99506688117981
SVHN,TracIn,True,0.3433333333333333,0.05,68.9399061203003
SVHN,HDEXPLAIN,False,0.8333333333333334,0.77,15.531799077987673
SVHN,HDEXPLAIN,True,0.93,0.75,5.127201318740845
SVHN,RPS,False,0.2266666666666666,0.03,1.5683517456054688
SVHN,IF,True,0.3233333333333333,0.05,88.98186445236206
SVHN,TracIn,True,0.3233333333333333,0.05,69.21039009094238
SVHN,HDEXPLAIN,False,0.87,0.76,15.95380163192749
SVHN,HDEXPLAIN,True,0.9,0.78,5.237116098403931
SVHN,RPS,False,0.1966666666666666,0.05,1.565727472305298
SVHN,IF,True,0.33,0.03,90.2121558189392
SVHN,TracIn,True,0.3266666666666666,0.03,67.68247056007385
SVHN,HDEXPLAIN,False,0.87,0.78,16.05941605567932
SVHN,HDEXPLAIN,True,0.9766666666666668,0.79,5.241283178329468
SVHN,RPS,False,0.2266666666666666,0.01,1.593012809753418
SVHN,IF,True,0.3166666666666666,0.03,87.64289593696594
SVHN,TracIn,True,0.32,0.03,67.22205805778503
SVHN,HDEXPLAIN,False,0.82,0.74,16.05599069595337
SVHN,HDEXPLAIN,True,0.9333333333333332,0.77,5.256736993789673
SVHN,RPS,False,0.2233333333333333,0.02,1.5839767456054688
SVHN,IF,True,0.3266666666666666,0.0,90.42381548881532
SVHN,TracIn,True,0.3233333333333333,0.0,68.34679841995239
SVHN,HDEXPLAIN,False,0.8833333333333333,0.76,15.989744424819946
SVHN,HDEXPLAIN,True,0.9333333333333332,0.85,5.254889965057373
SVHN,RPS,False,0.2066666666666666,0.02,1.5948188304901123
SVHN,IF,True,0.3466666666666667,0.01,88.71273469924927
SVHN,TracIn,True,0.3466666666666667,0.01,68.36717081069946
SVHN,HDEXPLAIN,False,0.8733333333333333,0.77,16.058881998062134
SVHN,HDEXPLAIN,True,0.9333333333333332,0.81,5.28442120552063
SVHN,RPS,False,0.2266666666666666,0.03,1.5728168487548828
SVHN,IF,True,0.32,0.01,91.61828804016112
SVHN,TracIn,True,0.32,0.01,66.07242608070374
SVHN,HDEXPLAIN,False,0.8833333333333333,0.87,15.99484920501709
SVHN,HDEXPLAIN,True,0.9266666666666666,0.88,5.2568864822387695
SVHN,RPS,False,0.2066666666666666,0.05,1.5807433128356934
SVHN,IF,True,0.3266666666666666,0.02,89.8846001625061
SVHN,TracIn,True,0.3266666666666666,0.02,68.79403805732727
SVHN,HDEXPLAIN,False,0.89,0.79,16.03200602531433
SVHN,HDEXPLAIN,True,0.93,0.83,5.23535680770874
SVHN,RPS,False,0.2166666666666666,0.02,1.5670201778411863
SVHN,IF,True,0.3366666666666666,0.02,91.10256600379944
SVHN,TracIn,True,0.3366666666666666,0.02,69.32471323013306
SVHN,HDEXPLAIN,False,0.8633333333333333,0.79,15.75719952583313
SVHN,HDEXPLAIN,True,0.9333333333333332,0.76,5.233453989028931
SVHN,RPS,False,0.2266666666666666,0.0,1.589094161987305
SVHN,IF,True,0.3233333333333333,0.05,87.99752831459045
SVHN,TracIn,True,0.3233333333333333,0.05,68.82805395126343
SVHN,HDEXPLAIN,False,0.8633333333333333,0.81,16.03054118156433
SVHN,HDEXPLAIN,True,0.9633333333333334,0.89,5.258443355560303
SVHN,RPS,False,0.2233333333333333,0.03,1.5753192901611328
SVHN,IF,True,0.2866666666666667,0.02,91.11673641204834
SVHN,TracIn,True,0.2866666666666667,0.02,69.91448450088501
SVHN,HDEXPLAIN,False,0.82,0.76,15.9297137260437
SVHN,HDEXPLAIN,True,0.9333333333333332,0.8,5.239454984664917
SVHN,RPS,False,0.2033333333333333,0.02,1.606678485870361
SVHN,IF,True,0.34,0.04,87.84728717803955
SVHN,TracIn,True,0.3366666666666666,0.03,67.13714361190796
SVHN,HDEXPLAIN,False,0.89,0.86,15.913057804107666
SVHN,HDEXPLAIN,True,0.97,0.85,5.29098105430603
SVHN,RPS,False,0.22,0.02,1.5896527767181396
SVHN,IF,True,0.2866666666666667,0.03,87.26763892173767
SVHN,TracIn,True,0.2866666666666667,0.03,67.20087265968323
SVHN,HDEXPLAIN,False,0.8566666666666667,0.77,15.988547563552856
SVHN,HDEXPLAIN,True,0.9533333333333334,0.86,5.248182058334351
SVHN,RPS,False,0.24,0.04,1.5983269214630127
SVHN,IF,True,0.3233333333333333,0.02,89.8814013004303
SVHN,TracIn,True,0.3233333333333333,0.02,69.46796107292175
SVHN,HDEXPLAIN,False,0.8633333333333333,0.79,16.022372245788574
SVHN,HDEXPLAIN,True,0.9566666666666668,0.81,5.253784656524658
SVHN,RPS,False,0.23,0.02,1.5794260501861572
SVHN,IF,True,0.32,0.01,90.43480682373048
SVHN,TracIn,True,0.32,0.01,69.95769739151001
SVHN,HDEXPLAIN,False,0.8366666666666667,0.76,16.04549503326416
SVHN,HDEXPLAIN,True,0.9333333333333332,0.78,5.247308254241943
SVHN,RPS,False,0.23,0.06,1.5680034160614014
SVHN,IF,True,0.3433333333333333,0.03,87.45843982696533
SVHN,TracIn,True,0.3433333333333333,0.03,69.13075375556946
SVHN,HDEXPLAIN,False,0.89,0.81,15.910945415496826
SVHN,HDEXPLAIN,True,0.98,0.83,5.21603536605835
SVHN,RPS,False,0.2333333333333333,0.04,1.5613715648651123
SVHN,IF,True,0.3266666666666666,0.02,87.89997506141663
SVHN,TracIn,True,0.3266666666666666,0.02,69.94400453567505
SVHN,HDEXPLAIN,False,0.8866666666666667,0.78,16.012705326080322
SVHN,HDEXPLAIN,True,0.9333333333333332,0.82,5.267467498779297
SVHN,RPS,False,0.22,0.03,1.5792396068572998
SVHN,IF,True,0.3333333333333333,0.03,89.54400587081909
SVHN,TracIn,True,0.3333333333333333,0.03,70.76171708106995
SVHN,HDEXPLAIN,False,0.8,0.71,16.00105118751526
SVHN,HDEXPLAIN,True,0.9233333333333332,0.73,5.230245351791382
SVHN,RPS,False,0.2066666666666666,0.0,1.5589993000030518
SVHN,IF,True,0.33,0.02,89.20926427841187
SVHN,TracIn,True,0.3266666666666666,0.02,70.43861937522888
SVHN,HDEXPLAIN,False,0.8966666666666666,0.85,15.995784282684326
SVHN,HDEXPLAIN,True,0.93,0.83,5.220855474472046
