data,kernel,scale,coverage,hit_rate,execution_time
MRI,RBF,False,0.7933333333333333,0.98,32.31267023086548
MRI,IMQ,False,0.81,1.0,32.29289531707764
MRI,Linear,False,0.37,0.5,6.450285196304321
MRI,RBF,False,0.74,0.98,32.18991589546204
MRI,IMQ,False,0.7833333333333333,1.0,32.17253375053406
MRI,Linear,False,0.3333333333333333,0.42,6.509671449661255
MRI,RBF,False,0.7666666666666667,0.97,32.2211754322052
MRI,IMQ,False,0.7633333333333333,1.0,32.230140924453735
MRI,Linear,False,0.3533333333333333,0.46,6.506577253341675
MRI,RBF,False,0.7366666666666667,0.97,32.21219325065613
MRI,IMQ,False,0.7766666666666666,1.0,32.165804862976074
MRI,Linear,False,0.3266666666666666,0.37,6.422879457473755
MRI,RBF,False,0.7733333333333333,0.99,32.410255670547485
MRI,IMQ,False,0.7866666666666666,1.0,32.26558971405029
MRI,Linear,False,0.3566666666666667,0.49,6.567892074584961
MRI,RBF,False,0.77,0.99,32.18647575378418
MRI,IMQ,False,0.7733333333333333,1.0,32.24312925338745
MRI,Linear,False,0.3366666666666666,0.51,6.456284761428833
MRI,RBF,False,0.7666666666666667,0.97,32.275981187820435
MRI,IMQ,False,0.7866666666666666,1.0,32.31273436546326
MRI,Linear,False,0.3566666666666667,0.57,6.50570011138916
MRI,RBF,False,0.7933333333333333,0.98,32.292720317840576
MRI,IMQ,False,0.8166666666666667,1.0,32.291327476501465
MRI,Linear,False,0.3333333333333333,0.5,6.541593313217163
MRI,RBF,False,0.7733333333333333,1.0,32.375678062438965
MRI,IMQ,False,0.7833333333333333,0.99,32.04156446456909
MRI,Linear,False,0.3833333333333333,0.54,6.479670286178589
MRI,RBF,False,0.7633333333333333,0.98,32.21927809715271
MRI,IMQ,False,0.7866666666666666,0.99,32.303218126297
MRI,Linear,False,0.3633333333333333,0.52,6.5090720653533936
MRI,RBF,False,0.79,0.96,32.22793507575989
MRI,IMQ,False,0.8066666666666666,0.98,32.32718110084534
MRI,Linear,False,0.3333333333333333,0.5,6.480174779891968
MRI,RBF,False,0.73,0.98,32.260767221450806
MRI,IMQ,False,0.7566666666666667,1.0,32.312246799468994
MRI,Linear,False,0.33,0.51,6.479382514953613
MRI,RBF,False,0.7866666666666666,1.0,32.27585029602051
MRI,IMQ,False,0.7666666666666667,1.0,32.386858224868774
MRI,Linear,False,0.37,0.53,6.47953462600708
MRI,RBF,False,0.7533333333333333,0.98,32.247514963150024
MRI,IMQ,False,0.7566666666666667,1.0,32.31467366218567
MRI,Linear,False,0.3566666666666667,0.51,6.492282390594482
MRI,RBF,False,0.8233333333333334,0.99,32.281458377838135
MRI,IMQ,False,0.8266666666666667,1.0,32.2306969165802
MRI,Linear,False,0.38,0.55,6.543600082397461
MRI,RBF,False,0.7633333333333333,1.0,32.28657412528992
MRI,IMQ,False,0.77,1.0,32.27011799812317
MRI,Linear,False,0.3833333333333333,0.53,6.465070724487305
MRI,RBF,False,0.7733333333333333,1.0,32.34568953514099
MRI,IMQ,False,0.8,1.0,32.14154553413391
MRI,Linear,False,0.3933333333333333,0.57,6.468953609466553
MRI,RBF,False,0.7466666666666667,0.99,31.989765644073486
MRI,IMQ,False,0.7833333333333333,1.0,32.2627866268158
MRI,Linear,False,0.37,0.54,6.448300123214722
MRI,RBF,False,0.8133333333333334,1.0,32.215635776519775
MRI,IMQ,False,0.83,1.0,32.27139186859131
MRI,Linear,False,0.3133333333333333,0.45,6.525015354156494
MRI,RBF,False,0.7533333333333333,0.99,32.28543210029602
MRI,IMQ,False,0.7766666666666666,1.0,32.18200349807739
MRI,Linear,False,0.35,0.5,6.596339702606201
MRI,RBF,False,0.8066666666666666,1.0,32.175137996673584
MRI,IMQ,False,0.8233333333333334,0.99,32.31993842124939
MRI,Linear,False,0.3633333333333333,0.48,6.521522045135498
MRI,RBF,False,0.7633333333333333,0.99,32.26457929611206
MRI,IMQ,False,0.7633333333333333,1.0,32.31450176239014
MRI,Linear,False,0.3333333333333333,0.49,6.416698455810547
MRI,RBF,False,0.7566666666666667,0.97,32.26615381240845
MRI,IMQ,False,0.7633333333333333,1.0,32.314860582351685
MRI,Linear,False,0.3133333333333333,0.45,6.460819959640503
MRI,RBF,False,0.7733333333333333,0.99,32.287057876586914
MRI,IMQ,False,0.8333333333333334,1.0,32.326279640197754
MRI,Linear,False,0.3833333333333333,0.55,6.536847829818726
MRI,RBF,False,0.7766666666666666,0.97,32.26140904426575
MRI,IMQ,False,0.7933333333333333,0.99,32.30454754829407
MRI,Linear,False,0.3233333333333333,0.48,6.525159597396851
MRI,RBF,False,0.7566666666666667,0.99,31.997573852539062
MRI,IMQ,False,0.7466666666666667,1.0,32.22676944732666
MRI,Linear,False,0.3233333333333333,0.5,6.515895128250122
MRI,RBF,False,0.7666666666666667,0.98,32.14766788482666
MRI,IMQ,False,0.7866666666666666,0.99,32.30853986740112
MRI,Linear,False,0.3733333333333333,0.51,6.513897895812988
MRI,RBF,False,0.78,0.98,32.27898120880127
MRI,IMQ,False,0.8066666666666666,0.98,32.16846251487732
MRI,Linear,False,0.3466666666666667,0.49,6.475407361984253
MRI,RBF,False,0.8266666666666667,0.99,32.32907962799072
MRI,IMQ,False,0.8266666666666667,1.0,33.106587409973145
MRI,Linear,False,0.3766666666666666,0.51,6.716399431228638
MRI,RBF,False,0.7966666666666666,0.99,32.35908913612366
MRI,IMQ,False,0.8033333333333333,1.0,32.28187346458435
MRI,Linear,False,0.36333333333333334,0.53,6.453232049942017
