data,kernel,scale,coverage,hit_rate,execution_time
OCEA,RBF,False,0.81,0.91,305.69122767448425
OCEA,IMQ,False,0.7233333333333334,1.0,303.9713294506073
OCEA,Linear,False,0.27,0.23,33.87725758552551
OCEA,RBF,False,0.79,0.89,304.7381262779236
OCEA,IMQ,False,0.71,1.0,302.95131635665894
OCEA,Linear,False,0.2433333333333333,0.24,33.41853952407837
OCEA,RBF,False,0.78,0.93,304.17072916030884
OCEA,IMQ,False,0.74,1.0,303.56370639801025
OCEA,Linear,False,0.1933333333333333,0.21,33.47205376625061
OCEA,RBF,False,0.79,0.91,303.56471967697144
OCEA,IMQ,False,0.75,1.0,303.56053280830383
OCEA,Linear,False,0.2,0.21,33.49750852584839
OCEA,RBF,False,0.7666666666666667,0.88,302.7710628509521
OCEA,IMQ,False,0.72,0.98,304.2940263748169
OCEA,Linear,False,0.2333333333333333,0.23,33.96193766593933
OCEA,RBF,False,0.8,0.84,303.58108162879944
OCEA,IMQ,False,0.7566666666666667,1.0,303.4264895915985
OCEA,Linear,False,0.33,0.35,33.66657876968384
OCEA,RBF,False,0.78,0.86,304.0607192516327
OCEA,IMQ,False,0.73,1.0,303.3614778518677
OCEA,Linear,False,0.2366666666666666,0.2,32.73990058898926
OCEA,RBF,False,0.8166666666666667,0.91,304.4229941368103
OCEA,IMQ,False,0.7666666666666667,1.0,303.0954558849335
OCEA,Linear,False,0.24,0.2,33.27091932296753
OCEA,RBF,False,0.7933333333333333,0.9,303.72329211235046
OCEA,IMQ,False,0.7633333333333333,0.99,304.2135844230652
OCEA,Linear,False,0.24,0.25,33.14088773727417
OCEA,RBF,False,0.7766666666666666,0.86,304.2423825263977
OCEA,IMQ,False,0.73,1.0,304.45822072029114
OCEA,Linear,False,0.26,0.21,33.362403869628906
OCEA,RBF,False,0.8033333333333333,0.91,303.87725710868835
OCEA,IMQ,False,0.7433333333333333,0.99,302.76476192474365
OCEA,Linear,False,0.2166666666666666,0.2,33.11413264274597
OCEA,RBF,False,0.8,0.82,304.8244106769562
OCEA,IMQ,False,0.76,1.0,303.02767753601074
OCEA,Linear,False,0.2433333333333333,0.2,33.56095099449158
OCEA,RBF,False,0.79,0.88,304.4443817138672
OCEA,IMQ,False,0.7366666666666667,1.0,302.9500172138214
OCEA,Linear,False,0.24,0.21,33.367549657821655
OCEA,RBF,False,0.8,0.9,303.78408336639404
OCEA,IMQ,False,0.7233333333333334,1.0,304.7146179676056
OCEA,Linear,False,0.1833333333333333,0.18,33.241299867630005
OCEA,RBF,False,0.76,0.92,304.06817388534546
OCEA,IMQ,False,0.7433333333333333,0.98,302.73045229911804
OCEA,Linear,False,0.2533333333333333,0.27,33.05240535736084
OCEA,RBF,False,0.76,0.85,302.74781584739685
OCEA,IMQ,False,0.7233333333333334,0.99,303.1869056224823
OCEA,Linear,False,0.29,0.3,33.52139949798584
OCEA,RBF,False,0.7733333333333333,0.85,303.80278754234314
OCEA,IMQ,False,0.7233333333333334,0.99,304.0847554206848
OCEA,Linear,False,0.2833333333333333,0.23,33.43093991279602
OCEA,RBF,False,0.83,0.87,303.64109206199646
OCEA,IMQ,False,0.7433333333333333,1.0,304.3416268825531
OCEA,Linear,False,0.28,0.24,33.28865647315979
OCEA,RBF,False,0.8166666666666667,0.89,303.5124943256378
OCEA,IMQ,False,0.77,0.99,303.20569801330566
OCEA,Linear,False,0.2666666666666666,0.21,32.905290603637695
OCEA,RBF,False,0.78,0.9,304.4699442386627
OCEA,IMQ,False,0.7433333333333333,1.0,303.57161355018616
OCEA,Linear,False,0.22,0.25,33.06473994255066
OCEA,RBF,False,0.82,0.87,302.4396278858185
OCEA,IMQ,False,0.8133333333333334,1.0,303.73445439338684
OCEA,Linear,False,0.2333333333333333,0.22,33.46236205101013
OCEA,RBF,False,0.78,0.88,303.14488887786865
OCEA,IMQ,False,0.7933333333333333,0.99,304.6746520996094
OCEA,Linear,False,0.2766666666666666,0.2,33.24168825149536
OCEA,RBF,False,0.7833333333333333,0.81,304.6646943092346
OCEA,IMQ,False,0.7433333333333333,1.0,303.65690302848816
OCEA,Linear,False,0.28,0.21,33.206090450286865
OCEA,RBF,False,0.7833333333333333,0.88,304.74881410598755
OCEA,IMQ,False,0.73,1.0,306.988466501236
OCEA,Linear,False,0.2466666666666666,0.24,34.55593729019165
OCEA,RBF,False,0.7933333333333333,0.85,304.89235043525696
OCEA,IMQ,False,0.7566666666666667,1.0,304.3331198692322
OCEA,Linear,False,0.2533333333333333,0.26,33.58117151260376
OCEA,RBF,False,0.7633333333333333,0.84,313.1376588344574
OCEA,IMQ,False,0.7366666666666667,0.99,306.81650161743164
OCEA,Linear,False,0.2566666666666666,0.25,32.82090759277344
OCEA,RBF,False,0.7966666666666666,0.89,303.24715995788574
OCEA,IMQ,False,0.75,1.0,304.53471207618713
OCEA,Linear,False,0.2533333333333333,0.2,33.47469663619995
OCEA,RBF,False,0.7866666666666666,0.93,304.5307297706604
OCEA,IMQ,False,0.72,1.0,302.8791139125824
OCEA,Linear,False,0.23,0.23,33.602484464645386
OCEA,RBF,False,0.8066666666666666,0.9,303.57718563079834
OCEA,IMQ,False,0.75,1.0,304.277777671814
OCEA,Linear,False,0.2466666666666666,0.22,33.25757908821106
OCEA,RBF,False,0.79,0.85,303.740371465683
OCEA,IMQ,False,0.7533333333333333,1.0,303.2417299747467
OCEA,Linear,False,0.2633333333333333,0.21,33.36166477203369
