data,explainer,scale,k,recall,precision,ndcg
CIFAR10,IF,True,10,0.0,0.0,0.0
CIFAR10,IF,True,20,0.0,0.0,0.0
CIFAR10,IF,True,30,0.05,0.1666666666666666,0.0497521103509369
CIFAR10,IF,True,40,0.15,0.375,0.1418998718013855
CIFAR10,IF,True,50,0.25,0.5,0.228185196312267
CIFAR10,IF,True,60,0.35,0.5833333333333334,0.3102814465410665
CIFAR10,IF,True,70,0.45,0.6428571428571429,0.3891782365318105
CIFAR10,IF,True,80,0.55,0.6875,0.4655198125404536
CIFAR10,IF,True,90,0.65,0.7222222222222222,0.5397542275546454
CIFAR10,IF,True,100,0.75,0.75,0.6122085290582915
CIFAR10,HDEXPLAIN,False,10,0.02,0.2,0.0621352713109427
CIFAR10,HDEXPLAIN,False,20,0.02,0.1,0.0621352713109427
CIFAR10,HDEXPLAIN,False,30,0.03,0.1,0.0726929963348858
CIFAR10,HDEXPLAIN,False,40,0.05,0.125,0.090994733143905
CIFAR10,HDEXPLAIN,False,50,0.08,0.16,0.1167998608648995
CIFAR10,HDEXPLAIN,False,60,0.1,0.1666666666666666,0.133113350445279
CIFAR10,HDEXPLAIN,False,70,0.14,0.2,0.1645889252037325
CIFAR10,HDEXPLAIN,False,80,0.16,0.2,0.1798081444871616
CIFAR10,HDEXPLAIN,False,90,0.19,0.2111111111111111,0.2020085238584399
CIFAR10,HDEXPLAIN,False,100,0.22,0.22,0.2237841862667081
CIFAR10,HDEXPLAIN,True,10,0.1,1.0,0.2169936843350081
CIFAR10,HDEXPLAIN,True,20,0.2,1.0,0.3362328212805096
CIFAR10,HDEXPLAIN,True,30,0.3,1.0,0.4375435812926453
CIFAR10,HDEXPLAIN,True,40,0.4,1.0,0.5296913427430939
CIFAR10,HDEXPLAIN,True,50,0.5,1.0,0.6159766672539753
CIFAR10,HDEXPLAIN,True,60,0.6,1.0,0.698072917482775
CIFAR10,HDEXPLAIN,True,70,0.7,1.0,0.7769697074735189
CIFAR10,HDEXPLAIN,True,80,0.8,1.0,0.8533112834821622
CIFAR10,HDEXPLAIN,True,90,0.9,1.0,0.927545698496354
CIFAR10,HDEXPLAIN,True,100,0.99,0.99,0.9927799518971632
CIFAR10,RPS,False,10,0.08,0.8,0.1453558994437781
CIFAR10,RPS,False,20,0.18,0.9,0.2645950363892796
CIFAR10,RPS,False,30,0.28,0.9333333333333332,0.3659057964014153
CIFAR10,RPS,False,40,0.38,0.95,0.4580535578518639
CIFAR10,RPS,False,50,0.48,0.96,0.5443388823627453
CIFAR10,RPS,False,60,0.58,0.9666666666666668,0.626435132591545
CIFAR10,RPS,False,70,0.68,0.9714285714285714,0.7053319225822892
CIFAR10,RPS,False,80,0.77,0.9625,0.7740751744745378
CIFAR10,RPS,False,90,0.86,0.9555555555555556,0.8408383517353233
CIFAR10,RPS,False,100,0.95,0.95,0.9060564177912006
CIFAR10,IF,True,10,0.0,0.0,0.0
CIFAR10,IF,True,20,0.0,0.0,0.0
CIFAR10,IF,True,30,0.07,0.2333333333333333,0.0699006290067507
CIFAR10,IF,True,40,0.17,0.425,0.1620483904571993
CIFAR10,IF,True,50,0.27,0.54,0.2483337149680808
CIFAR10,IF,True,60,0.37,0.6166666666666667,0.3304299651968803
CIFAR10,IF,True,70,0.47,0.6714285714285714,0.4093267551876244
CIFAR10,IF,True,80,0.57,0.7125,0.4856683311962674
CIFAR10,IF,True,90,0.67,0.7444444444444445,0.5599027462104592
CIFAR10,IF,True,100,0.77,0.77,0.6323570477141053
CIFAR10,HDEXPLAIN,False,10,0.01,0.1,0.0238792616304099
CIFAR10,HDEXPLAIN,False,20,0.01,0.05,0.0238792616304099
CIFAR10,HDEXPLAIN,False,30,0.02,0.0666666666666666,0.0337102023666377
CIFAR10,HDEXPLAIN,False,40,0.05,0.125,0.0614655017842942
CIFAR10,HDEXPLAIN,False,50,0.08,0.16,0.0874644615534387
CIFAR10,HDEXPLAIN,False,60,0.11,0.1833333333333333,0.1119946074131656
CIFAR10,HDEXPLAIN,False,70,0.13,0.1857142857142857,0.1276877607931245
CIFAR10,HDEXPLAIN,False,80,0.14,0.175,0.1354282962533863
CIFAR10,HDEXPLAIN,False,90,0.18,0.2,0.1652183958084347
CIFAR10,HDEXPLAIN,False,100,0.21,0.21,0.1869810102964151
CIFAR10,HDEXPLAIN,True,10,0.1,1.0,0.2169936843350081
CIFAR10,HDEXPLAIN,True,20,0.2,1.0,0.3362328212805096
CIFAR10,HDEXPLAIN,True,30,0.3,1.0,0.4375435812926453
CIFAR10,HDEXPLAIN,True,40,0.4,1.0,0.5296913427430939
