data,explainer,scale,k,recall,precision,ndcg
CIFAR10,TRAK,True,10,0.0229,0.229,0.050396719926097226
CIFAR10,TRAK,True,20,0.0421,0.21050000000000002,0.07343346610879023
CIFAR10,TRAK,True,30,0.06,0.2,0.09161487189041742
CIFAR10,TRAK,True,40,0.0777,0.19425000000000003,0.10792619348932181
CIFAR10,TRAK,True,50,0.09290000000000002,0.18580000000000005,0.12102804269503485
CIFAR10,TRAK,True,60,0.10720000000000002,0.17866666666666667,0.13277122469772606
CIFAR10,TRAK,True,70,0.1211,0.17300000000000004,0.14372075470072787
CIFAR10,TRAK,True,80,0.13429999999999997,0.16787499999999997,0.15379839701396567
CIFAR10,TRAK,True,90,0.14980000000000002,0.16644444444444442,0.16528824170964446
CIFAR10,TRAK,True,100,0.16480000000000003,0.16480000000000003,0.17615650989717477
