data,explainer,scale,k,recall,precision,ndcg
MRI,IF,True,10,0.0,0.0,0.0
MRI,IF,True,20,0.0109890109890109,0.05,0.0142500574838729
MRI,IF,True,30,0.0219780219780219,0.0666666666666666,0.0247659326517756
MRI,IF,True,40,0.0439560439560439,0.1,0.0442464366709398
MRI,IF,True,50,0.0549450549450549,0.1,0.0536610015737189
MRI,IF,True,60,0.0659340659340659,0.1,0.062537964276048
MRI,IF,True,70,0.0769230769230769,0.1,0.0709897496335236
MRI,IF,True,80,0.0879120879120879,0.1,0.0792695782701543
MRI,IF,True,90,0.0989010989010989,0.1,0.0872613468783218
MRI,IF,True,100,0.1208791208791208,0.11,0.1027951197246703
MRI,HDEXPLAIN,False,10,0.0109890109890109,0.1,0.018197172474139
MRI,HDEXPLAIN,False,20,0.0109890109890109,0.05,0.018197172474139
MRI,HDEXPLAIN,False,30,0.0219780219780219,0.0666666666666666,0.0286082302952621
MRI,HDEXPLAIN,False,40,0.0549450549450549,0.125,0.0579833948955307
MRI,HDEXPLAIN,False,50,0.0659340659340659,0.12,0.0671304431892675
MRI,HDEXPLAIN,False,60,0.0659340659340659,0.1,0.0671304431892675
MRI,HDEXPLAIN,False,70,0.0769230769230769,0.1,0.0755822285467431
MRI,HDEXPLAIN,False,80,0.1098901098901098,0.125,0.1000698042783092
MRI,HDEXPLAIN,False,90,0.1208791208791208,0.1222222222222222,0.1079987767651424
MRI,HDEXPLAIN,False,100,0.1208791208791208,0.11,0.1079987767651424
MRI,HDEXPLAIN,True,10,0.0,0.0,0.0
MRI,HDEXPLAIN,True,20,0.0,0.0,0.0
MRI,HDEXPLAIN,True,30,0.0219780219780219,0.0666666666666666,0.0214537054205341
MRI,HDEXPLAIN,True,40,0.0439560439560439,0.1,0.0411607123308348
MRI,HDEXPLAIN,True,50,0.0549450549450549,0.1,0.0504628405590912
MRI,HDEXPLAIN,True,60,0.0659340659340659,0.1,0.0590765961184966
MRI,HDEXPLAIN,True,70,0.0769230769230769,0.1,0.0675592931736796
MRI,HDEXPLAIN,True,80,0.0989010989010989,0.1125,0.0839879563558223
