data,explainer,scale,k,recall,precision,ndcg
Moon,YADEA,False,10,0.1,1.0,0.2169936843350081
Moon,YADEA,False,20,0.2,1.0,0.3362328212805096
Moon,YADEA,False,30,0.3,1.0,0.4375435812926453
Moon,YADEA,False,40,0.4,1.0,0.5296913427430939
Moon,YADEA,False,50,0.5,1.0,0.6159766672539753
Moon,YADEA,False,60,0.6,1.0,0.698072917482775
Moon,YADEA,False,70,0.7,1.0,0.7769697074735189
Moon,YADEA,False,80,0.8,1.0,0.8533112834821622
Moon,YADEA,False,90,0.9,1.0,0.927545698496354
Moon,YADEA,False,100,0.91,0.91,0.9348666258643352
Moon,RPS,False,10,0.1,1.0,0.2169936843350081
Moon,RPS,False,20,0.2,1.0,0.3362328212805096
Moon,RPS,False,30,0.3,1.0,0.4375435812926453
Moon,RPS,False,40,0.4,1.0,0.5296913427430939
Moon,RPS,False,50,0.5,1.0,0.6159766672539753
Moon,RPS,False,60,0.6,1.0,0.698072917482775
Moon,RPS,False,70,0.7,1.0,0.7769697074735189
Moon,RPS,False,80,0.8,1.0,0.8533112834821622
Moon,RPS,False,90,0.9,1.0,0.927545698496354
Moon,RPS,False,100,0.91,0.91,0.9348666258643352
Moon,IF,False,10,0.1,1.0,0.2169936843350081
Moon,IF,False,20,0.2,1.0,0.3362328212805096
Moon,IF,False,30,0.3,1.0,0.4375435812926453
Moon,IF,False,40,0.4,1.0,0.5296913427430939
Moon,IF,False,50,0.5,1.0,0.6159766672539753
Moon,IF,False,60,0.6,1.0,0.698072917482775
Moon,IF,False,70,0.7,1.0,0.7769697074735189
Moon,IF,False,80,0.8,1.0,0.8533112834821622
Moon,IF,False,90,0.9,1.0,0.927545698496354
Moon,IF,False,100,0.91,0.91,0.9348666258643352
Moon,YADEA,False,10,0.1,1.0,0.2169936843350081
Moon,YADEA,False,20,0.2,1.0,0.3362328212805096
Moon,YADEA,False,30,0.3,1.0,0.4375435812926453
Moon,YADEA,False,40,0.4,1.0,0.5296913427430939
Moon,YADEA,False,50,0.5,1.0,0.6159766672539753
Moon,YADEA,False,60,0.6,1.0,0.698072917482775
Moon,YADEA,False,70,0.7,1.0,0.7769697074735189
Moon,YADEA,False,80,0.8,1.0,0.8533112834821622
Moon,YADEA,False,90,0.9,1.0,0.9275456984963539
Moon,YADEA,False,100,0.91,0.91,0.9348666258643352
