data,explainer,scale,k,recall,precision,ndcg
SVHN,IF,True,10,0.0,0.0,0.0
SVHN,IF,True,20,0.0,0.0,0.0
SVHN,IF,True,30,0.0,0.0,0.0
SVHN,IF,True,40,0.0,0.0,0.0
SVHN,IF,True,50,0.0,0.0,0.0
SVHN,IF,True,60,0.0,0.0,0.0
SVHN,IF,True,70,0.0,0.0,0.0
SVHN,IF,True,80,0.0,0.0,0.0
SVHN,IF,True,90,0.0,0.0,0.0
SVHN,IF,True,100,0.0,0.0,0.0
SVHN,HDEXPLAIN,False,10,0.0,0.0,0.0
SVHN,HDEXPLAIN,False,20,0.01,0.05,0.0108731948681901
SVHN,HDEXPLAIN,False,30,0.01,0.0333333333333333,0.0108731948681901
SVHN,HDEXPLAIN,False,40,0.01,0.025,0.0108731948681901
SVHN,HDEXPLAIN,False,50,0.01,0.02,0.0108731948681901
SVHN,HDEXPLAIN,False,60,0.01,0.0166666666666666,0.0108731948681901
SVHN,HDEXPLAIN,False,70,0.01,0.0142857142857142,0.0108731948681901
SVHN,HDEXPLAIN,False,80,0.01,0.0125,0.0108731948681901
SVHN,HDEXPLAIN,False,90,0.01,0.0111111111111111,0.0108731948681901
SVHN,HDEXPLAIN,False,100,0.01,0.01,0.0108731948681901
SVHN,HDEXPLAIN,True,10,0.06,0.6,0.0946551497152542
SVHN,HDEXPLAIN,True,20,0.07,0.35,0.1075613248994324
SVHN,HDEXPLAIN,True,30,0.13,0.4333333333333333,0.1688973039900448
SVHN,HDEXPLAIN,True,40,0.13,0.325,0.1688973039900448
SVHN,HDEXPLAIN,True,50,0.17,0.34,0.2033955189073842
SVHN,HDEXPLAIN,True,60,0.17,0.2833333333333333,0.2033955189073842
SVHN,HDEXPLAIN,True,70,0.17,0.2428571428571428,0.2033955189073842
SVHN,HDEXPLAIN,True,80,0.17,0.2125,0.2033955189073842
SVHN,HDEXPLAIN,True,90,0.17,0.1888888888888888,0.2033955189073842
SVHN,HDEXPLAIN,True,100,0.18,0.18,0.2106317543551531
SVHN,RPS,False,10,0.0,0.0,0.0
SVHN,RPS,False,20,0.0,0.0,0.0
SVHN,RPS,False,30,0.0,0.0,0.0
SVHN,RPS,False,40,0.0,0.0,0.0
SVHN,RPS,False,50,0.0,0.0,0.0
SVHN,RPS,False,60,0.0,0.0,0.0
SVHN,RPS,False,70,0.0,0.0,0.0
SVHN,RPS,False,80,0.0,0.0,0.0
SVHN,RPS,False,90,0.0,0.0,0.0
SVHN,RPS,False,100,0.0,0.0,0.0
SVHN,IF,True,10,0.0,0.0,0.0
SVHN,IF,True,20,0.0,0.0,0.0
SVHN,IF,True,30,0.0,0.0,0.0
SVHN,IF,True,40,0.0,0.0,0.0
SVHN,IF,True,50,0.0,0.0,0.0
