data,explainer,scale,coverage,hit_rate,execution_time
OCEA,HDEXPLAIN,False,0.6733333333333333,0.02,307.770453453064
OCEA,HDEXPLAIN,True,0.5566666666666666,0.36,22.070772409439087
OCEA,RPS,False,0.4933333333333333,0.09,10.547053337097168
OCEA,IF,True,0.4933333333333333,0.08,783.6568441390991
OCEA,TracIn,True,0.4833333333333333,0.06,83.24221849441528
OCEA,HDEXPLAIN,False,0.65,0.01,305.5725557804108
OCEA,HDEXPLAIN,True,0.56,0.36,22.11582612991333
OCEA,RPS,False,0.4533333333333333,0.07,10.55371379852295
OCEA,IF,True,0.4833333333333333,0.06,789.7929086685181
OCEA,TracIn,True,0.4566666666666666,0.05,82.30593013763428
OCEA,HDEXPLAIN,False,0.6366666666666667,0.01,306.30130100250244
OCEA,HDEXPLAIN,True,0.66,0.51,21.95785975456237
OCEA,RPS,False,0.4433333333333333,0.06,10.539027452468872
OCEA,IF,True,0.4633333333333333,0.03,783.1891493797302
OCEA,TracIn,True,0.46,0.03,83.5456702709198
OCEA,HDEXPLAIN,False,0.71,0.05,305.2904155254364
OCEA,HDEXPLAIN,True,0.5566666666666666,0.36,21.9522864818573
OCEA,RPS,False,0.5133333333333333,0.1,10.550206661224363
OCEA,IF,True,0.5166666666666667,0.03,783.0836935043335
OCEA,TracIn,True,0.4966666666666666,0.03,85.2258551120758
OCEA,HDEXPLAIN,False,0.6333333333333333,0.08,305.4304356575012
OCEA,HDEXPLAIN,True,0.5733333333333334,0.36,21.972431659698486
OCEA,RPS,False,0.4766666666666667,0.06,10.543626070022585
OCEA,IF,True,0.47,0.05,784.0873880386353
OCEA,TracIn,True,0.4533333333333333,0.05,84.6916241645813
OCEA,HDEXPLAIN,False,0.6666666666666666,0.05,305.2584602832794
OCEA,HDEXPLAIN,True,0.4733333333333333,0.26,21.82146167755127
OCEA,RPS,False,0.4266666666666667,0.05,10.531512975692747
OCEA,IF,True,0.53,0.09,782.9202494621277
OCEA,TracIn,True,0.5166666666666667,0.09,85.89512848854065
OCEA,HDEXPLAIN,False,0.6533333333333333,0.05,305.4475576877594
OCEA,HDEXPLAIN,True,0.5333333333333333,0.3,21.990575075149536
OCEA,RPS,False,0.3966666666666666,0.0,10.534662246704102
OCEA,IF,True,0.4966666666666666,0.06,781.9231262207031
OCEA,TracIn,True,0.48,0.05,85.8304214477539
OCEA,HDEXPLAIN,False,0.6866666666666666,0.06,305.19711351394653
OCEA,HDEXPLAIN,True,0.6166666666666667,0.38,22.09025311470032
OCEA,RPS,False,0.4433333333333333,0.06,10.55547833442688
OCEA,IF,True,0.4666666666666667,0.03,788.5213904380798
OCEA,TracIn,True,0.45,0.03,84.78839206695557
OCEA,HDEXPLAIN,False,0.6833333333333333,0.04,306.2168893814087
OCEA,HDEXPLAIN,True,0.5133333333333333,0.29,22.0442807674408
OCEA,RPS,False,0.3966666666666666,0.02,10.53711724281311
OCEA,IF,True,0.4266666666666667,0.06,781.9058723449707
OCEA,TracIn,True,0.42,0.06,83.04493045806885
OCEA,HDEXPLAIN,False,0.6666666666666666,0.02,305.45458817481995
OCEA,HDEXPLAIN,True,0.6266666666666667,0.41,22.12563180923462
OCEA,RPS,False,0.4133333333333333,0.02,10.54887557029724
OCEA,IF,True,0.4766666666666667,0.06,785.1889684200287
OCEA,TracIn,True,0.4666666666666667,0.06,81.56042814254761
OCEA,HDEXPLAIN,False,0.67,0.06,304.9781129360199
OCEA,HDEXPLAIN,True,0.5733333333333334,0.35,22.063973665237427
OCEA,RPS,False,0.47,0.06,10.5187246799469
OCEA,IF,True,0.4833333333333333,0.05,781.2950158119202
OCEA,TracIn,True,0.48,0.05,85.43832612037659
OCEA,HDEXPLAIN,False,0.6866666666666666,0.03,305.46037125587463
OCEA,HDEXPLAIN,True,0.5966666666666667,0.33,21.94408631324768
OCEA,RPS,False,0.48,0.02,10.539054870605469
OCEA,IF,True,0.48,0.03,781.101594209671
OCEA,TracIn,True,0.4533333333333333,0.02,83.42722773551941
OCEA,HDEXPLAIN,False,0.6533333333333333,0.03,305.503541469574
OCEA,HDEXPLAIN,True,0.6066666666666667,0.39,21.668317556381226
OCEA,RPS,False,0.46,0.04,10.54037618637085
OCEA,IF,True,0.5233333333333333,0.05,781.7642812728882
OCEA,TracIn,True,0.5033333333333333,0.05,84.44392085075378
OCEA,HDEXPLAIN,False,0.67,0.02,305.4357640743256
OCEA,HDEXPLAIN,True,0.5866666666666667,0.4,21.559873580932617
OCEA,RPS,False,0.4666666666666667,0.07,10.15032148361206
OCEA,IF,True,0.4833333333333333,0.02,758.8168120384216
OCEA,TracIn,True,0.4633333333333333,0.02,82.0391035079956
