data,temperature,scale,coverage,hit_rate,execution_time
MRI,0.03,False,0.8133333333333334,1.0,32.03701400756836
MRI,0.06,False,0.8133333333333334,1.0,32.15723133087158
MRI,0.1,False,0.8166666666666667,1.0,32.16393995285034
MRI,0.3,False,0.8066666666666666,0.99,32.20971918106079
MRI,0.6,False,0.8,0.99,32.12381386756897
MRI,1.0,False,0.7933333333333333,0.98,31.9775652885437
MRI,3.0,False,0.7866666666666666,0.98,32.03565812110901
MRI,6.0,False,0.7666666666666667,0.97,32.12485957145691
MRI,0.03,False,0.76,0.99,32.17778396606445
MRI,0.06,False,0.7633333333333333,1.0,32.12577748298645
MRI,0.1,False,0.7633333333333333,0.99,32.09582281112671
MRI,0.3,False,0.76,0.99,32.1462345123291
MRI,0.6,False,0.7533333333333333,0.99,32.205082416534424
MRI,1.0,False,0.74,0.98,32.253963232040405
MRI,3.0,False,0.7333333333333333,0.99,32.1656973361969
MRI,6.0,False,0.7266666666666667,0.98,32.180752754211426
MRI,0.03,False,0.7433333333333333,1.0,32.05881953239441
MRI,0.06,False,0.7433333333333333,1.0,32.19672632217407
MRI,0.1,False,0.7533333333333333,0.99,32.11539125442505
MRI,0.3,False,0.7666666666666667,0.98,32.235899686813354
MRI,0.6,False,0.7633333333333333,0.97,32.24423360824585
MRI,1.0,False,0.7666666666666667,0.97,32.07508683204651
MRI,3.0,False,0.7333333333333333,0.98,32.08236074447632
MRI,6.0,False,0.7,0.95,32.208441734313965
MRI,0.03,False,0.7733333333333333,0.99,32.13614010810852
MRI,0.06,False,0.78,1.0,32.19518780708313
MRI,0.1,False,0.7833333333333333,1.0,32.03728151321411
MRI,0.3,False,0.7566666666666667,0.98,32.07472777366638
MRI,0.6,False,0.7366666666666667,0.96,32.134963035583496
MRI,1.0,False,0.7366666666666667,0.96,32.148871183395386
MRI,3.0,False,0.7333333333333333,0.97,32.07784080505371
MRI,6.0,False,0.72,0.94,32.0426664352417
MRI,0.03,False,0.7866666666666666,1.0,32.158164501190186
MRI,0.06,False,0.7866666666666666,1.0,32.21688747406006
MRI,0.1,False,0.7933333333333333,1.0,32.307377338409424
MRI,0.3,False,0.7933333333333333,1.0,32.21554255485535
MRI,0.6,False,0.7866666666666666,0.99,32.23143696784973
