data,temperature,scale,coverage,hit_rate,execution_time
OCEA,0.03,False,0.5366666666666666,0.0,304.8685693740845
OCEA,0.06,False,0.5466666666666666,0.01,304.3082785606384
OCEA,0.1,False,0.6066666666666667,0.02,304.2053682804108
OCEA,0.3,False,0.6433333333333333,0.05,303.6586301326752
OCEA,0.6,False,0.67,0.03,304.14944791793823
OCEA,1.0,False,0.6733333333333333,0.02,303.8722155094147
OCEA,3.0,False,0.61,0.02,304.27938532829285
OCEA,6.0,False,0.58,0.03,304.4755320549011
OCEA,0.03,False,0.5433333333333333,0.07,304.1446375846863
OCEA,0.06,False,0.55,0.07,303.95950174331665
OCEA,0.1,False,0.5966666666666667,0.07,303.70767092704773
OCEA,0.3,False,0.67,0.05,303.61954712867737
OCEA,0.6,False,0.6733333333333333,0.01,303.40017318725586
OCEA,1.0,False,0.65,0.01,303.345489025116
OCEA,3.0,False,0.6466666666666666,0.0,303.85657930374146
OCEA,6.0,False,0.6,0.0,304.1888339519501
OCEA,0.03,False,0.55,0.04,304.5256094932556
OCEA,0.06,False,0.5366666666666666,0.05,304.2440540790558
OCEA,0.1,False,0.62,0.06,303.6840977668762
OCEA,0.3,False,0.67,0.06,303.8714361190796
OCEA,0.6,False,0.6566666666666666,0.03,304.2593638896942
OCEA,1.0,False,0.6366666666666667,0.01,303.8812870979309
OCEA,3.0,False,0.5966666666666667,0.0,304.0058302879333
OCEA,6.0,False,0.58,0.0,304.2296772003174
OCEA,0.03,False,0.57,0.0,303.6305651664734
OCEA,0.06,False,0.59,0.0,303.79653239250183
OCEA,0.1,False,0.6566666666666666,0.02,303.9063332080841
OCEA,0.3,False,0.72,0.07,303.7520446777344
OCEA,0.6,False,0.7066666666666667,0.06,304.2507367134094
OCEA,1.0,False,0.71,0.05,303.75216269493103
OCEA,3.0,False,0.6233333333333333,0.05,303.36968755722046
OCEA,6.0,False,0.5966666666666667,0.05,304.04308676719666
OCEA,0.03,False,0.4866666666666667,0.07,304.34706473350525
OCEA,0.06,False,0.5133333333333333,0.07,303.75054383277893
OCEA,0.1,False,0.5633333333333334,0.1,304.2913222312927
OCEA,0.3,False,0.67,0.12,304.42489886283875
OCEA,0.6,False,0.65,0.07,304.0545880794525
OCEA,1.0,False,0.6333333333333333,0.08,304.5304424762726
OCEA,3.0,False,0.61,0.05,303.9289216995239
OCEA,6.0,False,0.59,0.04,302.991090297699
OCEA,0.03,False,0.55,0.06,303.4295287132263
OCEA,0.06,False,0.5566666666666666,0.06,304.0052287578583
OCEA,0.1,False,0.5866666666666667,0.07,304.23031282424927
OCEA,0.3,False,0.68,0.11,304.6889536380768
OCEA,0.6,False,0.6766666666666666,0.08,304.24495816230774
OCEA,1.0,False,0.6666666666666666,0.05,303.9474356174469
OCEA,3.0,False,0.61,0.06,303.6311905384064
OCEA,6.0,False,0.57,0.04,304.4501440525055
OCEA,0.03,False,0.5733333333333334,0.05,303.8619520664215
OCEA,0.06,False,0.5733333333333334,0.05,304.27592182159424
OCEA,0.1,False,0.6366666666666667,0.05,303.4942765235901
OCEA,0.3,False,0.6733333333333333,0.05,303.60978984832764
OCEA,0.6,False,0.6733333333333333,0.04,304.55771708488464
OCEA,1.0,False,0.6533333333333333,0.05,304.5217480659485
OCEA,3.0,False,0.6666666666666666,0.04,304.3264944553375
OCEA,6.0,False,0.6166666666666667,0.03,304.47279238700867
OCEA,0.03,False,0.58,0.03,304.4430243968964
OCEA,0.06,False,0.59,0.03,304.05791187286377
OCEA,0.1,False,0.6466666666666666,0.03,304.1518816947937
OCEA,0.3,False,0.73,0.04,304.1152853965759
OCEA,0.6,False,0.7,0.05,303.9690773487091
OCEA,1.0,False,0.6866666666666666,0.06,304.2803728580475
OCEA,3.0,False,0.6566666666666666,0.04,304.25622963905334
OCEA,6.0,False,0.66,0.05,303.89127707481384
OCEA,0.03,False,0.6166666666666667,0.04,303.9014148712158
OCEA,0.06,False,0.6166666666666667,0.04,303.8848125934601
OCEA,0.1,False,0.65,0.05,303.58255529403687
OCEA,0.3,False,0.69,0.04,303.6564292907715
OCEA,0.6,False,0.6933333333333334,0.05,304.2528438568115
OCEA,1.0,False,0.6833333333333333,0.04,303.9320662021637
OCEA,3.0,False,0.6433333333333333,0.03,303.37783885002136
OCEA,6.0,False,0.6233333333333333,0.02,303.4892632961273
OCEA,0.03,False,0.58,0.0,304.0278306007385
OCEA,0.06,False,0.5733333333333334,0.0,304.1326265335083
OCEA,0.1,False,0.6366666666666667,0.01,303.37864685058594
OCEA,0.3,False,0.65,0.03,303.7257282733917
OCEA,0.6,False,0.6566666666666666,0.02,304.041485786438
OCEA,1.0,False,0.6666666666666666,0.02,304.3638780117035
OCEA,3.0,False,0.63,0.01,304.7976694107056
OCEA,6.0,False,0.6133333333333333,0.04,303.6639854907989
OCEA,0.03,False,0.5966666666666667,0.01,303.8621389865875
OCEA,0.06,False,0.6,0.02,304.15464210510254
OCEA,0.1,False,0.6333333333333333,0.05,303.9946892261505
OCEA,0.3,False,0.6866666666666666,0.07,304.0110034942627
OCEA,0.6,False,0.6766666666666666,0.06,304.396701335907
OCEA,1.0,False,0.67,0.06,304.0784561634064
OCEA,3.0,False,0.6566666666666666,0.05,303.9738771915436
